site,taxa,density_m2
Burke,Acari,22.2
Burke,Aoteapsyche,311.1
Burke,Austroperla,44.4
Burke,Austrosimulium,261.1
Burke,Ceratopogonidae,88.9
Burke,Chironominae,450.0
Burke,Coloburiscus,77.8
Burke,Copepoda,50.0
Burke,Deleatidium,72.2
Burke,Diamesinae,61.1
Burke,Dytiscidae,5.6
Burke,Elmidae,83.3
Burke,Empididae,22.2
Burke,Eriopterini,11.1
Burke,Hydraenidae,11.1
Burke,Hydrobiosella,11.1
Burke,Hydrobiosis,144.4
Burke,Oligochaeta,550.0
Burke,Orthocladiinae,1244.4
Burke,Ostracoda,83.3
Burke,Oxyethira,5.6
Burke,Paralimnophila,11.1
Burke,Potamopyrgus,55.6
Burke,Psilochorema,38.9
Burke,Pycnocentrella,33.3
Burke,Pycnocentria,5.6
Burke,Scirtidae,22.2
Burke,Spaniocerca,355.6
Burke,Zelandobius,27.8
Burnet,Acari,377.8
Burnet,Ameletopsis,22.2
Burnet,Aoteapsyche,11.1
Burnet,Austroperla,33.3
Burnet,Austrosimulium,38.9
Burnet,Beraeoptera,50.0
Burnet,Ceratopogonidae,55.6
Burnet,Copepoda,211.1
Burnet,Deleatidium,761.1
Burnet,Elmidae,27.8
Burnet,Empididae,83.3
Burnet,Eriopterini,16.7
Burnet,Helicopsyche,5.6
Burnet,Hydraenidae,27.8
Burnet,Hydrobiosella,38.9
Burnet,Hydrobiosis,100.0
Burnet,Limonia,11.1
Burnet,Oligochaeta,983.3
Burnet,Orthocladiinae,1522.2
Burnet,Oxyethira,44.4
Burnet,Paraleptamphopus,5.6
Burnet,Psilochorema,11.1
Burnet,Pycnocentrodes,5.6
Burnet,Stenoperla,22.2
Burnet,Tanypodinae,55.6
Burnet,Zelandobius,888.9
Burtrb,Acari,5.6
Burtrb,Aoteapsyche,33.3
Burtrb,Austrosimulium,116.7
Burtrb,Ceratopogonidae,11.1
Burtrb,Chironominae,22.2
Burtrb,Deleatidium,283.3
Burtrb,Diamesinae,22.2
Burtrb,Elmidae,16.7
Burtrb,Empididae,33.3
Burtrb,Oligochaeta,216.7
Burtrb,Orthocladiinae,477.8
Burtrb,Psilochorema,22.2
Burtrb,Pycnocentria,16.7
Burtrb,Rakiura,11.1
Burtrb,Stenoperla,5.6
Burtrb,Tanypodinae,5.6
Burtrb,Zelandobius,194.4
Burtrb,Zelandoperla,5.6
BV03,Acari,16.7
BV03,Aoteapsyche,16.7
BV03,Deleatidium,5.6
BV03,Oligochaeta,5.6
BV03,Orthocladiinae,55.6
cbdale,Acari,38.9
cbdale,Aoteapsyche,5.6
cbdale,Deleatidium,16.7
cbdale,Diamesinae,11.1
cbdale,Empididae,11.1
cbdale,Oligochaeta,27.8
cbdale,Orthocladiinae,16.7
cbdale,Oxyethira,44.4
cbdale,Zelandobius,33.3
cbdale,Zelolessica,11.1
Charm,Acari,55.6
Charm,Aoteapsyche,27.8
Charm,Archichauliodes,72.2
Charm,Austroperla,11.1
Charm,Austrosimulium,11.1
Charm,Ceratopogonidae,66.7
Charm,Chironominae,150.0
Charm,Coloburiscus,27.8
Charm,Deleatidium,1361.1
Charm,Elmidae,5.6
Charm,Empididae,5.6
Charm,Hydraenidae,5.6
Charm,Hydrobiosis,61.1
Charm,Oligochaeta,1183.3
Charm,Olinga,11.1
Charm,Orthocladiinae,433.3
Charm,Oxyethira,27.8
Charm,Paraleptamphopus,22.2
Charm,Scirtidae,72.2
Charm,Stenoperla,5.6
Charm,Tanypodinae,11.1
Charm,Zelandobius,77.8
Chasm,Acari,16.7
Chasm,Aoteapsyche,127.8
Chasm,Aphrophila,5.6
Chasm,Archichauliodes,5.6
Chasm,Austrosimulium,61.1
Chasm,Coloburiscus,305.6
Chasm,Cristaperla,16.7
Chasm,Deleatidium,816.7
Chasm,Diamesinae,16.7
Chasm,Elmidae,50.0
Chasm,Eriopterini,5.6
Chasm,Hexatomini,5.6
Chasm,Hydraenidae,5.6
Chasm,Hydrobiosis,72.2
Chasm,Nesameletus,5.6
Chasm,Oligochaeta,277.8
Chasm,Olinga,5.6
Chasm,Orthocladiinae,355.6
Chasm,Ostracoda,16.7
Chasm,Oxyethira,5.6
Chasm,Paraleptamphopus,300.0
Chasm,Platyhelminthes,5.6
Chasm,Potamopyrgus,16.7
Chasm,Psilochorema,16.7
Chasm,Pycnocentria,88.9
Chasm,Pycnocentrodes,11.1
Chasm,Scirtidae,127.8
Chasm,Tanypodinae,22.2
Chasm,Zelandobius,66.7
Chasm,Zephlebia,44.4
Coal,Acari,66.7
Coal,Aoteapsyche,11.1
Coal,Austrosimulium,11.1
Coal,Chironominae,16.7
Coal,Diamesinae,5.6
Coal,Diptera,5.6
Coal,Dixidae,11.1
Coal,Dytiscidae,16.7
Coal,Empididae,5.6
Coal,Gyrinidae,27.8
Coal,Hydrobiosis,5.6
Coal,Oligochaeta,22.2
Coal,Orthocladiinae,277.8
Coal,Zelandoperla,27.8
Coorup,Aoteapsyche,11.1
Coorup,Austroperla,72.2
Coorup,Austrosimulium,350.0
Coorup,Ceratopogonidae,11.1
Coorup,Coloburiscus,138.9
Coorup,Deleatidium,816.7
Coorup,Elmidae,127.8
Coorup,Empididae,16.7
Coorup,Hydraenidae,27.8
Coorup,Hydrobiosella,111.1
Coorup,Oligochaeta,22.2
Coorup,Orthocladiinae,344.4
Coorup,Potamopyrgus,5.6
Coorup,Pycnocentrodes,5.6
Coorup,Stenoperla,5.6
Coorup,Zelandobius,272.2
Coorup,Zelandoperla,50.0
Stream X,Acari,22.2
Stream X,Aoteapsyche,16.7
Stream X,Beraeoptera,16.7
Stream X,Deleatidium,11.1
Stream X,Diamesinae,16.7
Stream X,Hydrochorema,5.6
Stream X,Oligochaeta,61.1
Stream X,Orthocladiinae,16.7
Stream X,Spaniocerca,66.7
Stream X,Stenoperla,5.6
Granit,Aoteapsyche,5.6
Granit,Deleatidium,5.6
Granit,Diamesinae,105.6
Granit,Orthocladiinae,377.8
Granit,Oxyethira,122.2
Granit,Potamopyrgus,5.6
Granit,Spaniocerca,5.6
Granit,Zelandobius,5.6
Hot,Acari,22.2
Hot,Empididae,11.1
Hot,Oligochaeta,5.6
Hot,Orthocladiinae,372.2
Italia,Acari,77.8
Italia,Aoteapsyche,900.0
Italia,Aphrophila,16.7
Italia,Archichauliodes,50.0
Italia,Austroperla,111.1
Italia,Austrosimulium,255.6
Italia,Beraeoptera,1144.4
Italia,Ceratopogonidae,38.9
Italia,Chironominae,11.1
Italia,Coloburiscus,205.6
Italia,Deleatidium,1166.7
Italia,Diamesinae,44.4
Italia,Elmidae,411.1
Italia,Empididae,5.6
Italia,Eriopterini,5.6
Italia,Helicopsyche,22.2
Italia,Hydraenidae,261.1
Italia,Hydrobiosella,50.0
Italia,Hydrobiosis,100.0
Italia,Nesameletus,27.8
Italia,Oligochaeta,450.0
Italia,Olinga,472.2
Italia,Orthocladiinae,494.4
Italia,Oxyethira,5.6
Italia,Platyhelminthes,122.2
Italia,Potamopyrgus,72.2
Italia,Psilochorema,33.3
Italia,Pycnocentria,1200.0
Italia,Pycnocentrodes,11.1
Italia,Spaniocerca,38.9
Italia,Stenoperla,11.1
Italia,Zelandobius,11.1
Kiwi,Acari,22.2
Kiwi,Aoteapsyche,194.4
Kiwi,Austrosimulium,288.9
