"model","variable","2.5%","50%","97.5%"
"S","int_coef",10.626383461766,13.1384149536207,16.1883856640831
"S","slope_coef",0.762294855326619,0.812574953842188,0.863125298852082
"S","ref_to_min",1.49920440287145,1.76996916134446,2.10998640922285
"S","ref_to_max",4.15271489622073,7.44483325784828,13.809475347793
"S","min_to_max",2.76994576810844,4.20619374680054,6.54481720150874
"L","int_coef",10.9789162558615,16.4226767969046,23.9630311151336
"L","slope_coef",0.611831723519161,0.698679514098156,0.782385650616694
"L","ref_to_min",1.96426088434761,2.68158270378045,3.86345088701825
"L","ref_to_max",10.737352935123,32.080159950296,115.830636217773
"L","min_to_max",5.46635786531242,11.9631439681504,29.9811322725323
"C","int_coef",0.101032248698067,0.113475182482671,0.12722327091511
"C","slope_coef",1.03048510032139,1.06997994707702,1.10943932478081
"C","ref_to_min",0.751484663093588,0.830209346880793,0.920708681777264
"C","ref_to_max",0.366210995200292,0.519829832156828,0.747915788885249
"C","min_to_max",0.487316645622438,0.626143073554382,0.812326196975723
"Gen","int_coef",0.19808990181962,0.22139933019882,0.248134942548966
"Gen","slope_coef",1.05049816894775,1.08924040860845,1.12704223810379
"Gen","ref_to_min",0.719635427558162,0.790446678996414,0.87325590392198
"Gen","ref_to_max",0.31448746674362,0.437438365313411,0.620943127673607
"Gen","min_to_max",0.437009410791491,0.553406544534016,0.711066623450051
"Vul","int_coef",0.161490918931841,0.183215466203693,0.212406915998125
"Vul","slope_coef",1.09889013471435,1.14390846117275,1.19136431013084
"Vul","ref_to_min",0.617733772159842,0.690821125181745,0.771497975932071
"Vul","ref_to_max",0.183844713813028,0.272398416763661,0.401666568851442
"Vul","min_to_max",0.297611561849746,0.394311069562036,0.520632043941646
