Genus,Label,Type,Value,Unit,file,site,surber,date,ln_a,b,base,logdw,dw
Acari,Acari,Distance,0.79,mm,Burcoa_s3a_04-02-16.csv,Burcoa,s3,04-02-16,-5,2.5,2.718281828,-5.589305834,3.74E-06
Acari,Acari,Distance,0.55,mm,Burke-_s2l_04-02-16.csv,Burke,s2,04-02-16,-5,2.5,2.718281828,-6.494592502,1.51E-06
Acari,Acari,Distance,1.39,mm,Burke-_s3h_04-02-16.csv,Burke,s3,04-02-16,-5,2.5,2.718281828,-4.176740632,1.53E-05
Acari,Acari,Distance,0.98,mm,Burke-_s3i_04-02-16.csv,Burke,s3,04-02-16,-5,2.5,2.718281828,-5.050506768,6.41E-06
Acari,Acari,Distance,0.94,mm,Burke-_s3i_04-02-16.csv,Burke,s3,04-02-16,-5,2.5,2.718281828,-5.154688509,5.77E-06
Acari,Acari,Distance,0.54,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.540465349,1.44E-06
Acari,Acari,Distance,0.4,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-7.29072683,6.82E-07
Acari,Acari,Distance,0.65,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.07695729,2.30E-06
Acari,Acari,Distance,0.56,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.3,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-8.009932011,3.32E-07
Acari,Acari,Distance,0.47,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.887556461,1.02E-06
Acari,Acari,Distance,0.56,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.48,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.834922938,1.08E-06
Acari,Acari,Distance,0.68,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-5.964156202,2.57E-06
Acari,Acari,Distance,0.53,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.587195681,1.38E-06
Acari,Acari,Distance,0.71,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-5.856225773,2.86E-06
Acari,Acari,Distance,0.53,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.587195681,1.38E-06
Acari,Acari,Distance,0.68,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-5.964156202,2.57E-06
Acari,Acari,Distance,0.46,mm,Burnet_s2s_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.941321974,9.67E-07
Acari,Acari,Distance,0.54,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.540465349,1.44E-06
Acari,Acari,Distance,0.72,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-5.821260168,2.96E-06
Acari,Acari,Distance,0.58,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.361817939,1.73E-06
Acari,Acari,Distance,0.46,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.941321974,9.67E-07
Acari,Acari,Distance,0.6,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.27706406,1.88E-06
Acari,Acari,Distance,0.56,mm,Burnet_s2s_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.64,mm,Burnet_s2s_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.115717757,2.21E-06
Acari,Acari,Distance,0.4,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.29072683,6.82E-07
Acari,Acari,Distance,0.38,mm,Burnet_s2s_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.418960066,6.00E-07
Acari,Acari,Distance,0.38,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-7.418960066,6.00E-07
Acari,Acari,Distance,0.35,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.624555312,4.88E-07
Acari,Acari,Distance,0.43,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.109925176,8.17E-07
Acari,Acari,Distance,0.54,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.540465349,1.44E-06
Acari,Acari,Distance,0.57,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.405297296,1.65E-06
Acari,Acari,Distance,0.5,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
Acari,Acari,Distance,0.38,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.418960066,6.00E-07
Acari,Acari,Distance,0.56,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.45,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.996269241,9.15E-07
Acari,Acari,Distance,0.39,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-7.35402135,6.40E-07
Acari,Acari,Distance,0.5,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
Acari,Acari,Distance,0.34,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.697024154,4.54E-07
Acari,Acari,Distance,0.28,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-8.18241419,2.80E-07
Acari,Acari,Distance,0.39,mm,Burnet_s2s_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.35402135,6.40E-07
Acari,Acari,Distance,0.5,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
