Site,Pass,Reach_length,Mean_width,Anguilla.australis,Gobiomorphus.huttoni,Galaxias.fasciatus,Galaxias.maculatus,Salmo.trutta
Kiwi,P1,,2.5,20,44,3,2,0
Kiwi,P2,,2.5,9,15,0,4,0
Kiwi,P3,,2.5,4,6,0,1,0
Burke,P1,,2.5,0,0,0,0,4
Burke,P2,,2.5,1,0,0,0,1
Burke,P3,,2.5,0,0,0,0,1
Italian,P1,,3,3,0,0,0,1
Italian,P2,,3,0,0,0,0,0
Italian,P3,,3,0,0,0,0,0
Coorup,P1,,1.5,0,0,0,0,0
Coorup,P2,,1.5,1,0,0,0,0
Coorup,P3,,1.5,0,0,0,0,0
Lankey,P1,,1.75,0,0,0,0,5
Lankey,P2,,1.75,0,0,0,0,1
Lankey,P3,,1.75,0,0,0,0,0
Murray,P1,,2.5,0,0,0,0,2
Murray,P2,,2.5,0,0,0,0,2
Murray,P3,,2.5,0,0,0,0,1
